A1,A2,A3,A4,A5,B1,B2,B3,C1,C2,C3,C4,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,F7,F8,F9,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15
54,Female / Perempuan,Diploma,Bekerja sendiri,unspecified,Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan;Business/ Perniagaan,None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Gamification / Gamifikasi;Quiz / Kuiz;Offline learning / Pembelajaran luar talian;Intuitive Interface / Antara Muka Intuitif (mudah difahami);Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
51,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Android,Hotspot,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan;Business/ Perniagaan,Basic / Tahap Asas,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,No / Tidak,Tidak ketemu lagi yang sesuai untuk orang dewasa,Tiada siaran yang sesuai untuk orang dewasa mempelajari bahasa Arab,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Intuitive Interface / Antara Muka Intuitif (mudah difahami),Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
53,Female / Perempuan,PhD,Kerajaan,"Lebih RM 11,000",Yes / Ya,Android,Wi-Fi;Broadband,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan;Business/ Perniagaan,None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Never attend any arabic class,Just try to learn using terjemahan quran perksts,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Gamification / Gamifikasi;Quiz / Kuiz;Offline learning / Pembelajaran luar talian;Intuitive Interface / Antara Muka Intuitif (mudah difahami);Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
53,Female / Perempuan,Master,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi;Education/Pembelajaran,None / Tiada asas,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Gamification / Gamifikasi;Quiz / Kuiz;Intuitive Interface / Antara Muka Intuitif (mudah difahami),Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
44,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan,Tahap Pertengahan sehingga tingkatan 6,No / Tidak,Yes / Ya,Yes / Ya,Biasanya menghafal sahaja.,Yes / Ya,Yes / Ya,Tiada keperluan kecuali untuk membaca al-Quran.,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Gamification / Gamifikasi;Quiz / Kuiz;Offline learning / Pembelajaran luar talian;Intuitive Interface / Antara Muka Intuitif (mudah difahami);Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3
51,Female / Perempuan,Diploma,Swasta,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Apple IOS,Wi-Fi,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan,Basic / Tahap Asas,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Intuitive Interface / Antara Muka Intuitif (mudah difahami);Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
54,Female / Perempuan,tingkatan 6,Swasta,"RM 1,100",Yes / Ya,Android,Mobile data,Communication/ Komunikasi;Isu semasa,None / Tiada asas,No / Tidak,Yes / Ya,Tak pernah cuba hafal,No / Tidak,Yes / Ya,Rujuk terjemahan untuk faham sahaja,No / Tidak,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Gamification / Gamifikasi;Quiz / Kuiz;Offline learning / Pembelajaran luar talian;Intuitive Interface / Antara Muka Intuitif (mudah difahami);Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3
54,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi,Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Gamification / Gamifikasi;Quiz / Kuiz,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,2,3,3,2,3,3,3,3,2
47,Female / Perempuan,SPM,Kerajaan,"RM 2,500 ï¿½ï¿½ï¿½ï¿½",Yes / Ya,Android,Hotspot,Communication/ Komunikasi;Entertainment/Hiburan,None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Gamification / Gamifikasi;Quiz / Kuiz;Offline learning / Pembelajaran luar talian;Intuitive Interface / Antara Muka Intuitif (mudah difahami),Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,2,2,3,2,3,3,2,3,3,3,3,3,3,3
48,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi,Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Intuitive Interface / Antara Muka Intuitif (mudah difahami);Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,No / Tidak,2,2,2,2,2,2,2,1,1,1,2,1,2,1,3
45,Female / Perempuan,Master,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi;Education/Pembelajaran;Business/ Perniagaan,Basic / Tahap Asas,No / Tidak,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Gamification / Gamifikasi;Quiz / Kuiz,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3
42,Female / Perempuan,Diploma,Swasta,Bawah RM 2500,Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan;Business/ Perniagaan,None / Tiada asas,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
50,Female / Perempuan,Degree,Surirumah,None,Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi,Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
37,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan;Business/ Perniagaan,Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Gamification / Gamifikasi;Quiz / Kuiz;Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,3,3,3,3,3,3,3,1,2,2,3,3,3,3,3
46,Female / Perempuan,Master,Kerajaan,"Lebih RM 11,000",Yes / Ya,Apple IOS,Wi-Fi;Hotspot,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan,None / Tiada asas,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Gamification / Gamifikasi;Quiz / Kuiz;Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
40,Female / Perempuan,Diploma,Surirumah,na,Yes / Ya,Apple IOS,Wi-Fi,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan;Business/ Perniagaan,Basic / Tahap Asas,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Quiz / Kuiz;Offline learning / Pembelajaran luar talian,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
46,Female / Perempuan,SPM,Swasta,Bawah RM 2500,Yes / Ya,Android,Wi-Fi;mobile data,Communication/ Komunikasi;Entertainment/Hiburan,None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,tidak pernah mempunyai pegalaman belajar bahasa arab,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Quiz / Kuiz;Offline learning / Pembelajaran luar talian,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,2,2,3,2,2,2,2,3,3,3,3,3,3,3,3
53,Female / Perempuan,SPM,Bekerja sendiri,Bawah RM 2500,Yes / Ya,Android,Wi-Fi;Broadband,Communication/ Komunikasi;Entertainment/Hiburan,None / Tiada asas,No / Tidak,Yes / Ya,No / Tidak,No / Tidak,Yes / Ya,No / Tidak,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;Gamification / Gamifikasi;Quiz / Kuiz;Progress bar / Bar Kemajuan,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,2,2,3,2,2,2,2,1,1,1,2,2,2,1,2
59,Female / Perempuan,Diploma,Kerajaan,"RM 2,500 ï¿½ï¿½ï¿½ï¿½",Yes / Ya,Android,Wi-Fi;Hotspot,Communication/ Komunikasi,Intermediate / Tahap Pertengahan,No / Tidak,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Gamification / Gamifikasi;Quiz / Kuiz;Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
48,Female / Perempuan,Master,Kerajaan,Bawah RM 2500,Yes / Ya,Apple IOS,Wi-Fi,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan,None / Tiada asas,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Belum pernah belajar bahasa Arab,Belum pernah belajar bahasa Arab,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Quiz / Kuiz,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,2,3,3,3,2,3,3,2,2
50,Female / Perempuan,Sekolah Menengah,tiada,tiada,Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi;Entertainment/Hiburan,Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Offline learning / Pembelajaran luar talian,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,2,3,2,3,2,1,3,3,3,2,3
51,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi,Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Gamification / Gamifikasi;Quiz / Kuiz;Offline learning / Pembelajaran luar talian;Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,2,2,3,2,3,3,2,2,2,2
43,Female / Perempuan,SPM,Surirumah,-,Yes / Ya,Apple IOS,Wi-Fi,Communication/ Komunikasi;Education/Pembelajaran,None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;Offline learning / Pembelajaran luar talian;Intuitive Interface / Antara Muka Intuitif (mudah difahami),Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,1,2,3,2,2,2,3,2,2,2,2,3,2,1,2
60,Female / Perempuan,tingkatan 4,Swasta,Bawah RM 2500,Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi;Entertainment/Hiburan,Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Quiz / Kuiz;Offline learning / Pembelajaran luar talian;Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3
45,Female / Perempuan,Degree,Surirumah,-,Yes / Ya,Apple IOS,Wi-Fi;Hotspot,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan,Basic / Tahap Asas,No / Tidak,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Quiz / Kuiz;Intuitive Interface / Antara Muka Intuitif (mudah difahami),Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,2,2,3,2,3,2,3,2,2,3,2,2,2,1,3
42,Female / Perempuan,PhD,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Apple IOS,Wi-Fi;Broadband;Hotspot,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan,None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;Gamification / Gamifikasi;Quiz / Kuiz;Intuitive Interface / Antara Muka Intuitif (mudah difahami);Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
43,Female / Perempuan,PhD,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Android,Broadband,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan,None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Gamification / Gamifikasi;Quiz / Kuiz;Offline learning / Pembelajaran luar talian;Intuitive Interface / Antara Muka Intuitif (mudah difahami);Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3
60,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Android,Wi-Fi,Education/Pembelajaran,Intermediate / Tahap Pertengahan,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Gamification / Gamifikasi;Quiz / Kuiz;Offline learning / Pembelajaran luar talian;Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
42,Female / Perempuan,Diploma,Swasta,"RM 2,500 ï¿½ï¿½ï¿½ï¿½",Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi;Entertainment/Hiburan;Business/ Perniagaan,None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Quiz / Kuiz;Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
50,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi;Education/Pembelajaran;Business/ Perniagaan,Basic / Tahap Asas,No / Tidak,"Tidak, kerana kurang penggunaan bahasa Arab. Mengambil bahagian untuk menolong.",No / Tidak,Menghafal dan akronim.,Yes / Ya,Yes / Ya,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Gamification / Gamifikasi;Quiz / Kuiz;Offline learning / Pembelajaran luar talian;Intuitive Interface / Antara Muka Intuitif (mudah difahami);Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,2,3,3,3,3,3,3,3,2,3,2,2,3,3
47,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi;Education/Pembelajaran,Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;Quiz / Kuiz,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,1,3,3,3,3,2,3,3,3,2,3,3,3,1,3
47,Female / Perempuan,PhD,Kerajaan,"Lebih RM 11,000",Yes / Ya,Apple IOS,Wi-Fi;Hotspot,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan,Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Quiz / Kuiz;Intuitive Interface / Antara Muka Intuitif (mudah difahami);Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,1,3,3,3,3,3,2,2,1,2,3,2,3,1,3
